1024, 0.001, 11260, 4182, 390.19687577370865, 0.01126, 0.18306736755049832
1024, 0.0001, 1796, 4182, 143.21190091801193, 0.001796, 0.010717023918697895
1024, 1e-05, 764, 4182, 79.04309534156417, 0.000764, 0.0025162052017064594
1024, 1e-06, 316, 4182, 48.38019612969089, 0.000316, 0.0006370059157075966
1024, 1e-07, 164, 4182, 36.005186187153356, 0.000164, 0.0002460354389455479
2048, 0.001, 13436, 8287, 3532.196124605099, 0.013436, 1.9774411304247548
2048, 0.0001, 2236, 8287, 1269.2195208324506, 0.002236, 0.11824895202422332
2048, 1e-05, 764, 8287, 719.9940783767819, 0.000764, 0.022919811494994224
2048, 1e-06, 516, 8287, 479.6566284928437, 0.000516, 0.01031261751259614
2048, 1e-07, 316, 8287, 342.51489764069026, 0.000316, 0.004509779485602421
3072, 0.001, 14596, 12389, 13189.084992647227, 0.014596, 8.021161856361621
3072, 0.0001, 2236, 12386, 5322.29090802242, 0.002236, 0.4958601029307555
3072, 1e-05, 764, 12386, 3538.856912026564, 0.000764, 0.11265361169951228
3072, 1e-06, 516, 12389, 1630.5709687829267, 0.000516, 0.035057275828832925
3072, 1e-07, 316, 12389, 1158.0012942200303, 0.000316, 0.015247017040563733
4096, 0.001, 17060, 16488, 30094.9544313143, 0.01706, 21.392496774925917
4096, 0.0001, 2724, 16488, 11194.931102374452, 0.002724, 1.2706246801195002
4096, 1e-05, 1060, 16488, 6159.736127413095, 0.00106, 0.2720550122940784
4096, 1e-06, 516, 16488, 3942.964337319883, 0.000516, 0.08477373325237747
4096, 1e-07, 316, 16488, 2770.564078610868, 0.000316, 0.03647909370170976
8192, 0.001, 19716, 32881, 270204.859291302, 0.019716, 221.97329190780457
8192, 0.0001, 3260, 32881, 98336.39854734484, 0.00326, 13.357360802681006
8192, 1e-05, 1060, 32881, 62478.29966288102, 0.00106, 2.759458235110578
8192, 1e-06, 516, 32881, 41134.88503080835, 0.000516, 0.8844000281623794
8192, 1e-07, 316, 32881, 25414.893045684086, 0.000316, 0.3346294251015071
12288, 0.001, 22564, 49271, 933385.2526999761, 0.022564, 877.5377017467608
12288, 0.0001, 3260, 49268, 404704.1213379959, 0.00326, 54.97230981507778
12288, 1e-05, 1404, 49271, 193715.46885178983, 0.001404, 11.332354927829705
12288, 1e-06, 764, 49271, 131528.4951067899, 0.000764, 4.186990427566145
12288, 1e-07, 316, 49268, 125425.24623793997, 0.000316, 1.6514324087995427
16384, 0.001, 24060, 65655, 2280809.0400966895, 0.02406, 2286.5110626969313
16384, 0.0001, 3844, 65655, 860808.8674311702, 0.003844, 137.8728869335591
16384, 1e-05, 1404, 65655, 475350.4427616432, 0.001404, 27.808000901556127
16384, 1e-06, 764, 65655, 313754.1034202101, 0.000764, 9.987838958876688
16384, 1e-07, 516, 65655, 241336.05792148408, 0.000516, 5.1887252453119075
